item_before,item_after,action,occurrences
Decreto 3.142/1999,Decreto nº 3.142/1999,normalized,2
Decreto 3.413 2000,Decreto nº 3.413/2000,normalized,2
Decreto 3.413/2000,Decreto nº 3.413/2000,normalized,2
Decreto 3.788 2001,Decreto nº 3.788/2001,normalized,2
Decreto 57.654 1966 art 140,Decreto nº 57.654/1966 art. 140,normalized,2
Decreto 6.003/2006,Decreto nº 6.003/2006,normalized,2
Decreto 6.690/2008,Decreto nº 6.690/2008,normalized,2
Decreto 6.877 2009,Decreto nº 6.877/2009,normalized,2
Decreto 6.949/2009,Decreto nº 6.949/2009,normalized,2
Decreto 6759 2009 art 668,Decreto nº 6.759/2009 art. 668,normalized,2
Decreto 7.133/2010,Decreto nº 7.133/2010,normalized,2
Decreto 7.806/2012,Decreto nº 7.806/2012,normalized,2
Decreto 7.844/2012,Decreto nº 7.844/2012,normalized,2
Decreto 7.922/2013,Decreto nº 7.922/2013,normalized,2
Decreto 8.441/2015,Decreto nº 8.441/2015,normalized,2
Decreto 84.134/1979,Decreto nº 84.134/1979,normalized,2
Decreto 9.235 2017,Decreto nº 9.235/2017,normalized,2
Decreto 9.739 2019,Decreto nº 9.739/2019,normalized,2
Decreto 9.760 2019,Decreto nº 9.760/2019,normalized,2
Decreto 9.823/2019,Decreto nº 9.823/2019,normalized,2
Decreto 9.991/2019,Decreto nº 9.991/2019,normalized,2
Decreto 94.664 1987,Decreto nº 94.664/1987,normalized,2
Decreto 99.266/1990 art 5º,Decreto nº 99.266/1990 art. 5º,normalized,2
Decreto Legislativo 186 2008,Decreto Legislativo 186 2008,unchanged,2
Decreto Legislativo 6 2020,Decreto Legislativo 6 2020,unchanged,2
EC 33/2001,EC 33/2001,unchanged,2
EC 41 2003 art 7º,EC 41/2003 art. 7º,normalized,2
EC 46 2005,EC 46/2005,normalized,2
EC 47/2005 arts 2º e 3º,EC 47/2005 art. 2º e 3º,normalized,2
EC 60/2009,EC 60/2009,unchanged,2
EC 70 2012,EC 70/2012,normalized,2
EC 98/2017,EC 98/2017,unchanged,2
Estatuto dos Militares art 109,Estatuto dos Militares art. 109,normalized,2
IN RFB 1.891/2019,IN RFB 1.891/2019,unchanged,2
Instrução Normativa RFB 1.059 2010,Instrução Normativa RFB 1.059 2010,unchanged,2
LC 105 2001 Art 6º,LC 105 2001 art. 6º,normalized,2
LC 105/2001 art. 6º,LC 105/2001 art. 6º,unchanged,2
LC 118 2005,LC 118 2005,unchanged,2
LC 142/2013,LC 142/2013,unchanged,2
LC 173 2020,LC 173 2020,unchanged,2
LC 35/1979 art 65,LC 35/1979 art. 65,normalized,2
LC 35/1979 art 69,LC 35/1979 art. 69,normalized,2
LC 51 1985,LC 51 1985,unchanged,2
LC 51/1985,LC 51/1985,unchanged,2
LEP art 126,LEP art. 126,normalized,2
Lei 10.174 2001,Lei nº 10.174/2001,normalized,2
Lei 10.259/2001,Lei nº 10.259/2001,normalized,2
Lei 10.259/2001 art 3º § 1º III,Lei nº 10.259/2001 art. 3º § 1º inc. III,normalized,2
Lei 10.480/2002,Lei nº 10.480/2002,normalized,2
Lei 10.826 2003 art 10,Lei nº 10.826/2003 art. 10,normalized,2
Lei 10.833 2003,Lei nº 10.833/2003,normalized,2
Lei 11.343 2006 art 40 I,Lei nº 11.343/2006 art. 40 inc. I,normalized,2
Lei 11.343/2006 art 35,Lei nº 11.343/2006 art. 35,normalized,2
Lei 12.382/2011,Lei nº 12.382/2011,normalized,2
Lei 12.470 2011,Lei nº 12.470/2011,normalized,2
Lei 12.527/2011,Lei nº 12.527/2011,normalized,2
Lei 12.546/2011,Lei nº 12.546/2011,normalized,2
Lei 12.618/2012,Lei nº 12.618/2012,normalized,2
Lei 12.871/2013,Lei nº 12.871/2013,normalized,2
Lei 13.043 2014,Lei nº 13.043/2014,normalized,2
Lei 13.135 2015,Lei nº 13.135/2015,normalized,2
Lei 13.146 2015,Lei nº 13.146/2015,normalized,2
Lei 13.146/2015,Lei nº 13.146/2015,normalized,2
Lei 13.463/2017,Lei nº 13.463/2017,normalized,2
Lei 13.491/2017,Lei nº 13.491/2017,normalized,2
Lei 13.670/2018,Lei nº 13.670/2018,normalized,2
Lei 13.681/2018,Lei nº 13.681/2018,normalized,2
Lei 13.846/2019,Lei nº 13.846/2019,normalized,2
Lei 13.876/2019,Lei nº 13.876/2019,normalized,2
Lei 14.151/2021,Lei nº 14.151/2021,normalized,2
Lei 14.261/2021,Lei nº 14.261/2021,normalized,2
Lei 14.523 2023,Lei nº 14.523/2023,normalized,2
Lei 14.611/2023,Lei nº 14.611/2023,normalized,2
Lei 3.765/1960,Lei nº 3.765/1960,normalized,2
Lei 4.242/1963 art 30,Lei nº 4.242/1963 art. 30,normalized,2
Lei 4.375 1964,Lei nº 4.375/1964,normalized,2
Lei 4.375/1964 art 33,Lei nº 4.375/1964 art. 33,normalized,2
Lei 4.591/1964,Lei nº 4.591/1964,normalized,2
Lei 6.830 1980 Art 2º § 1º,Lei nº 6.830/1980 art. 2º § 1º,normalized,2
Lei 6.830 1980 art 5º,Lei nº 6.830/1980 art. 5º,normalized,2
Lei 6.938/1981,Lei nº 6.938/1981,normalized,2
Lei 7.347/1985,Lei nº 7.347/1985,normalized,2
Lei 8.009 1990,Lei nº 8.009/1990,normalized,2
Lei 8.059 1990,Lei nº 8.059/1990,normalized,2
Lei 8.112 102,Lei nº 8.112 102,normalized,2
Lei 8.112 1990 art 100,Lei nº 8.112/1990 art. 100,normalized,2
Lei 8.112 1990 art 37,Lei nº 8.112/1990 art. 37,normalized,2
Lei 8.137 1990,Lei nº 8.137/1990,normalized,2
Lei 8.137 1990 Art 1º I,Lei nº 8.137/1990 art. 1º I,normalized,2
Lei 8.137/1990,Lei nº 8.137/1990,normalized,2
Lei 8.213 1991 art 115 § 3º,Lei nº 8.213/1991 art. 115 § 3º,normalized,2
Lei 8.213 1991 art 16 I,Lei nº 8.213/1991 art. 16 inc. I,normalized,2
Lei 8.213/1991 art 74,Lei nº 8.213/1991 art. 74,normalized,2
Lei 8.270 1991 art 12,Lei nº 8.270/1991 art. 12,normalized,2
Lei 8.429 1992 Art 17 § 8º,Lei nº 8.429/1992 art. 17 § 8º,normalized,2
Lei 8.429/1992 art 9º,Lei nº 8.429/1992 art. 9º,normalized,2
Lei 8.666 1993 art 90,Lei nº 8.666/1993 art. 90,normalized,2
Lei 8.906 1994 art 23,Lei nº 8.906/1994 art. 23,normalized,2
Lei 8.906 1994 art 28 V,Lei nº 8.906/1994 art. 28 inc. V,normalized,2
Lei 8.981 1995,Lei nº 8.981/1995,normalized,2
Lei 8.989/1995,Lei nº 8.989/1995,normalized,2
Lei 9.065 1995,Lei nº 9.065/1995,normalized,2
Lei 9.528 1997,Lei nº 9.528/1997,normalized,2
Lei 9.5281997,Lei nº 9.528/1997,normalized,2
Lei 9.605 1998 art 50 A,Lei nº 9.605/1998 art. 50-A,normalized,2
Lei 9.605 1998 art 50 A § 1º,Lei nº 9.605/1998 art. 50-A § 1º,normalized,2
Lei 9.654/1998,Lei nº 9.654/1998,normalized,2
Lei 9.717 1998,Lei nº 9.717/1998,normalized,2
Lei 9.782 1999,Lei nº 9.782/1999,normalized,2
Lei 9.782/1999,Lei nº 9.782/1999,normalized,2
Lei 9.784 1999 art 54,Lei nº 9.784/1999 art. 54,normalized,2
Lei 9.870 1999 art 6º,Lei nº 9.870/1999 art. 6º,normalized,2
Lei Complementar 11 1971,LC nº 11/1971,normalized,2
Lei Complementar 123/2006,LC nº 123/2006,normalized,2
Lei Complementar 140 2011,LC nº 140/2011,normalized,2
Lei Complementar 142 2013,LC nº 142/2013,normalized,2
Lei Complementar 35 1979,LC nº 35/1979,normalized,2
Lei Complementar 76 1993,LC nº 76/1993,normalized,2
Lei Complementar 76 1993 art 16,LC nº 76/1993 art. 16,normalized,2
Lei Orçamentária Anual LOA,Lei Orçamentária Anual. LOA,normalized,2
Lei nº 1.079/1950,Lei nº 1.079/1950,unchanged,2
Lei nº 1.234/1950,Lei nº 1.234/1950,unchanged,2
Lei nº 1.711/1952,Lei nº 1.711/1952,unchanged,2
Lei nº 10.150/2000,Lei nº 10.150/2000,unchanged,2
Lei nº 10.174/2001,Lei nº 10.174/2001,unchanged,2
Lei nº 10.252/2002,Lei nº 10.252/2002,unchanged,2
Lei nº 10.259/2001 Art 3º § 1º II,Lei nº 10.259/2001 art. 3º § 1º inc. II,normalized,2
Lei nº 10.260/2001 art 6º-B § 3º,Lei nº 10.260/2001 art. 6º-B § 3º,normalized,2
Lei nº 10.332/2001,Lei nº 10.332/2001,unchanged,2
Lei nº 10.438/2002,Lei nº 10.438/2002,unchanged,2
Lei nº 10.474/2002,Lei nº 10.474/2002,unchanged,2
Lei nº 10.475/2002,Lei nº 10.475/2002,unchanged,2
Lei nº 10.486/2002 art 65,Lei nº 10.486/2002 art. 65,normalized,2
Lei nº 10.522 2002 art 20,Lei nº 10.522/2002 art. 20,normalized,2
Lei nº 10.522/2002 Art 19 § 1º,Lei nº 10.522/2002 art. 19 § 1º,normalized,2
Lei nº 10.522/2002 art 20,Lei nº 10.522/2002 art. 20,normalized,2
Lei nº 10.559/2002 art 13,Lei nº 10.559/2002 art. 13,normalized,2
Lei nº 10.559/2002 art 16,Lei nº 10.559/2002 art. 16,normalized,2
Lei nº 10.559/2002 art 19,Lei nº 10.559/2002 art. 19,normalized,2
Lei nº 10.602/2002,Lei nº 10.602/2002,unchanged,2
Lei nº 10.637 2002,Lei nº 10.637/2002,normalized,2
Lei nº 10.637/2002 Art 3,Lei nº 10.637/2002 art. 3º,normalized,2
Lei nº 10.666 2003,Lei nº 10.666/2003,normalized,2
Lei nº 10.666/2003,Lei nº 10.666/2003,unchanged,2
Lei nº 10.684/2003,Lei nº 10.684/2003,unchanged,2
Lei nº 10.684/2003 art 12,Lei nº 10.684/2003 art. 12,normalized,2
Lei nº 10.697/2003,Lei nº 10.697/2003,unchanged,2
Lei nº 10.698 2003,Lei nº 10.698/2003,normalized,2
Lei nº 10.826/2003 art 17,Lei nº 10.826/2003 art. 17,normalized,2
Lei nº 10.833/2003 Art 3,Lei nº 10.833/2003 art. 3º,normalized,2
Lei nº 10.833/2003 art 1º,Lei nº 10.833/2003 art. 1º,normalized,2
Lei nº 10.861/2004,Lei nº 10.861/2004,unchanged,2
Lei nº 10.887/2004 art 1º,Lei nº 10.887/2004 art. 1º,normalized,2
Lei nº 10.931/2004,Lei nº 10.931/2004,unchanged,2
Lei nº 105/2001,Lei nº 105/2001,unchanged,2
Lei nº 11.091/2005 art 11,Lei nº 11.091/2005 art. 11,normalized,2
Lei nº 11.096 2005,Lei nº 11.096/2005,normalized,2
Lei nº 11.096/2005,Lei nº 11.096/2005,unchanged,2
Lei nº 11.101 2005,Lei nº 11.101/2005,normalized,2
Lei nº 11.101/2005,Lei nº 11.101/2005,unchanged,2
Lei nº 11.196/2005 art 103-B,Lei nº 11.196/2005 art. 103-B,normalized,2
Lei nº 11.335/2006,Lei nº 11.335/2006,unchanged,2
Lei nº 11.343 2006 Art 33 § 4º,Lei nº 11.343/2006 art. 33 § 4º,normalized,2
Lei nº 11.343 2006 art 28,Lei nº 11.343/2006 art. 28,normalized,2
Lei nº 11.343/2006 art 2º parágrafo único,Lei nº 11.343/2006 art. 2º § único,normalized,2
Lei nº 11.343/2006 art 33 §4º,Lei nº 11.343/2006 art. 33 § 4º,normalized,2
Lei nº 11.343/2006 art 36,Lei nº 11.343/2006 art. 36,normalized,2
Lei nº 11.343/2006 art 40 VII,Lei nº 11.343/2006 art. 40 inc. VII,normalized,2
Lei nº 11.343/2006 art. 33 caput,Lei nº 11.343/2006 art. 33 caput,unchanged,2
Lei nº 11.343/2006 art. 40 I,Lei nº 11.343/2006 art. 40 inc. I,normalized,2
Lei nº 11.344/2006,Lei nº 11.344/2006,unchanged,2
Lei nº 11.350/2006,Lei nº 11.350/2006,unchanged,2
Lei nº 11.358 2006,Lei nº 11.358/2006,normalized,2
Lei nº 11.415/2006,Lei nº 11.415/2006,unchanged,2
Lei nº 11.421/2006 Art 1º,Lei nº 11.421/2006 art. 1º,normalized,2
Lei nº 11.441/2007,Lei nº 11.441/2007,unchanged,2
Lei nº 11.457 2007,Lei nº 11.457/2007,normalized,2
Lei nº 11.488/2007,Lei nº 11.488/2007,unchanged,2
Lei nº 11.520/2007,Lei nº 11.520/2007,unchanged,2
Lei nº 11.705/2008,Lei nº 11.705/2008,unchanged,2
Lei nº 11.775 2008,Lei nº 11.775/2008,normalized,2
Lei nº 11.907/2009 art 56,Lei nº 11.907/2009 art. 56,normalized,2
Lei nº 116/2003,Lei nº 116/2003,unchanged,2
Lei nº 12.102/2010,Lei nº 12.102/2010,unchanged,2
Lei nº 12.158 2009,Lei nº 12.158/2009,normalized,2
Lei nº 12.190/2010,Lei nº 12.190/2010,unchanged,2
Lei nº 12.202/2010,Lei nº 12.202/2010,unchanged,2
Lei nº 12.234 2010,Lei nº 12.234/2010,normalized,2
Lei nº 12.249 2010,Lei nº 12.249/2010,normalized,2
Lei nº 12.317/2010,Lei nº 12.317/2010,unchanged,2
Lei nº 12.336/2010,Lei nº 12.336/2010,unchanged,2
Lei nº 12.403/2011,Lei nº 12.403/2011,unchanged,2
Lei nº 12.546 2011,Lei nº 12.546/2011,normalized,2
Lei nº 12.546/2011,Lei nº 12.546/2011,unchanged,2
Lei nº 12.683/2012,Lei nº 12.683/2012,unchanged,2
Lei nº 12.711/2012 Art 1o,Lei nº 12.711/2012 art. 1º,normalized,2
Lei nº 12.711/2012 Art 2o,Lei nº 12.711/2012 art. 2º,normalized,2
Lei nº 12.772/2012 Art 20,Lei nº 12.772/2012 art. 20,normalized,2
Lei nº 12.775/2012,Lei nº 12.775/2012,unchanged,2
Lei nº 12.777/2012,Lei nº 12.777/2012,unchanged,2
Lei nº 12.778/2012,Lei nº 12.778/2012,unchanged,2
Lei nº 12.810/2013,Lei nº 12.810/2013,unchanged,2
Lei nº 12.850 2013 art 2 § 4 II,Lei nº 12.850/2013 art. 2º § 4º inc. II,normalized,2
Lei nº 12.850 2013 art 2º,Lei nº 12.850/2013 art. 2º,normalized,2
Lei nº 12.850/2013 art. 2º,Lei nº 12.850/2013 art. 2º,unchanged,2
Lei nº 12.973/2014 art 30,Lei nº 12.973/2014 art. 30,normalized,2
Lei nº 12.990/2014 art 3º § 1º,Lei nº 12.990/2014 art. 3º § 1º,normalized,2
Lei nº 12.996 2014,Lei nº 12.996/2014,normalized,2
Lei nº 12.996/2014,Lei nº 12.996/2014,unchanged,2
Lei nº 13.008/2014,Lei nº 13.008/2014,unchanged,2
Lei nº 13.043 2014,Lei nº 13.043/2014,normalized,2
Lei nº 13.043/2014 art 75,Lei nº 13.043/2014 art. 75,normalized,2
Lei nº 13.097/2015,Lei nº 13.097/2015,unchanged,2
Lei nº 13.146/2015 Artigo 3,Lei nº 13.146/2015 art. 3º,normalized,2
Lei nº 13.316/2016,Lei nº 13.316/2016,unchanged,2
Lei nº 13.327 2016,Lei nº 13.327/2016,normalized,2
Lei nº 13.327/2016 art 29,Lei nº 13.327/2016 art. 29,normalized,2
Lei nº 13.411/2016,Lei nº 13.411/2016,unchanged,2
Lei nº 13.445 2017,Lei nº 13.445/2017,normalized,2
Lei nº 13.457/2017,Lei nº 13.457/2017,unchanged,2
Lei nº 13.463/2017 art 3º,Lei nº 13.463/2017 art. 3º,normalized,2
Lei nº 13.465 2017,Lei nº 13.465/2017,normalized,2
Lei nº 13.465/2017,Lei nº 13.465/2017,unchanged,2
Lei nº 13.530/2017,Lei nº 13.530/2017,unchanged,2
Lei nº 13.656/2018,Lei nº 13.656/2018,unchanged,2
Lei nº 13.681 2018,Lei nº 13.681/2018,normalized,2
Lei nº 13.846 2019,Lei nº 13.846/2019,normalized,2
Lei nº 13.846 2019 Art 24,Lei nº 13.846/2019 art. 24,normalized,2
Lei nº 13.964 2019,Lei nº 13.964/2019,normalized,2
Lei nº 13.988/2020,Lei nº 13.988/2020,unchanged,2
Lei nº 13.998/2020,Lei nº 13.998/2020,unchanged,2
Lei nº 14.040/2020,Lei nº 14.040/2020,unchanged,2
Lei nº 14.128 2021,Lei nº 14.128/2021,normalized,2
Lei nº 14.151 2021,Lei nº 14.151/2021,normalized,2
Lei nº 14.151/2021,Lei nº 14.151/2021,unchanged,2
Lei nº 14.611 2023,Lei nº 14.611/2023,normalized,2
Lei nº 14.752/2023,Lei nº 14.752/2023,unchanged,2
Lei nº 14.789/2023,Lei nº 14.789/2023,unchanged,2
Lei nº 3.807/1960,Lei nº 3.807/1960,unchanged,2
Lei nº 4.132/1962 artigo 1,Lei nº 4.132/1962 art. 1º,normalized,2
Lei nº 4.503/1964 art 1º § 2º,Lei nº 4.503/1964 art. 1º § 2º,normalized,2
Lei nº 4.717/1965 art 1º,Lei nº 4.717/1965 art. 1º,normalized,2
Lei nº 4.737/1965,Lei nº 4.737/1965,unchanged,2
Lei nº 4.769/1965,Lei nº 4.769/1965,unchanged,2
Lei nº 4.771/1965,Lei nº 4.771/1965,unchanged,2
Lei nº 4.878/1965,Lei nº 4.878/1965,unchanged,2
Lei nº 4.878/1965 art 12,Lei nº 4.878/1965 art. 12,normalized,2
Lei nº 4.886/1965 art 27 j,Lei nº 4.886/1965 art. 27-J,normalized,2
Lei nº 4.947/1966,Lei nº 4.947/1966,unchanged,2
Lei nº 4.947/1966 art 20,Lei nº 4.947/1966 art. 20,normalized,2
Lei nº 5.010/1966 art 15 III,Lei nº 5.010/1966 art. 15 inc. III,normalized,2
Lei nº 5.010/1966 art 15 inciso I,Lei nº 5.010/1966 art. 15 inc. I,normalized,2
Lei nº 5.172/1966,Lei nº 5.172/1966,unchanged,2
Lei nº 5.194 1966,Lei nº 5.194/1966,normalized,2
Lei nº 5.292/1967 art 4º,Lei nº 5.292/1967 art. 4º,normalized,2
Lei nº 5.764/1971,Lei nº 5.764/1971,unchanged,2
Lei nº 5.764/1971 Art 79,Lei nº 5.764/1971 art. 79,normalized,2
Lei nº 5.809/1972,Lei nº 5.809/1972,unchanged,2
Lei nº 5.991 1973,Lei nº 5.991/1973,normalized,2
Lei nº 6.015/1973 art 32,Lei nº 6.015/1973 art. 32,normalized,2
Lei nº 6.297/1975,Lei nº 6.297/1975,unchanged,2
Lei nº 6.404/1976,Lei nº 6.404/1976,unchanged,2
Lei nº 6.437/1977,Lei nº 6.437/1977,unchanged,2
Lei nº 6.495 1981,Lei nº 6.495/1981,normalized,2
Lei nº 6.496/1977 art 1º,Lei nº 6.496/1977 art. 1º,normalized,2
Lei nº 6.634/1979,Lei nº 6.634/1979,unchanged,2
Lei nº 6.634/1979 Artigo 1,Lei nº 6.634/1979 art. 1º,normalized,2
Lei nº 6.782/1980,Lei nº 6.782/1980,unchanged,2
Lei nº 6.830 1980 Art 40,Lei nº 6.830/1980 art. 40,normalized,2
Lei nº 6.830/1980 Art 16 §1º,Lei nº 6.830/1980 art. 16 § 1º,normalized,2
Lei nº 6.830/1980 art 16,Lei nº 6.830/1980 art. 16,normalized,2
Lei nº 6.830/1980 art 2º,Lei nº 6.830/1980 art. 2º,normalized,2
Lei nº 6.830/1980 art 3º,Lei nº 6.830/1980 art. 3º,normalized,2
Lei nº 6.830/1980 artigo 10,Lei nº 6.830/1980 art. 10,normalized,2
Lei nº 6.830/1980 artigo 11,Lei nº 6.830/1980 art. 11,normalized,2
Lei nº 6.839/1980 art 1º,Lei nº 6.839/1980 art. 1º,normalized,2
Lei nº 6.880 1980 Art 117,Lei nº 6.880/1980 art. 117,normalized,2
Lei nº 6.880/1980 Art 109,Lei nº 6.880/1980 art. 109,normalized,2
Lei nº 6.880/1980 Art 137 VI,Lei nº 6.880/1980 art. 137 inc. VI,normalized,2
Lei nº 6.880/1980 art 108 IV,Lei nº 6.880/1980 art. 108 inc. IV,normalized,2
Lei nº 6.880/1980 art 108 V,Lei nº 6.880/1980 art. 108 inc. V,normalized,2
Lei nº 6.880/1980 art 111 II,Lei nº 6.880/1980 art. 111 inc. II,normalized,2
Lei nº 6.880/1980 art 50,Lei nº 6.880/1980 art. 50,normalized,2
Lei nº 6.880/1980 estatuto dos militares,Lei nº 6.880/1980 estatuto dos militares,unchanged,2
Lei nº 6.903/1981 art 7º,Lei nº 6.903/1981 art. 7º,normalized,2
Lei nº 6.938 1981,Lei nº 6.938/1981,normalized,2
Lei nº 6.938/1981 14,Lei nº 6.938/1981 14,unchanged,2
Lei nº 6.938/1981 art 14 § 1º,Lei nº 6.938/1981 art. 14 § 1º,normalized,2
Lei nº 6.938/1981 artigo 4,Lei nº 6.938/1981 art. 4º,normalized,2
Lei nº 6.994/1982,Lei nº 6.994/1982,unchanged,2
Lei nº 7.070/1982,Lei nº 7.070/1982,unchanged,2
Lei nº 7.210/1984 Art 112,Lei nº 7.210/1984 art. 112,normalized,2
Lei nº 7.210/1984 artigo 1,Lei nº 7.210/1984 art. 1º,normalized,2
Lei nº 7.210/1984 artigo 118,Lei nº 7.210/1984 art. 118,normalized,2
Lei nº 7.210/1984 artigo 14,Lei nº 7.210/1984 art. 14,normalized,2
Lei nº 7.347 1985 art 16,Lei nº 7.347/1985 art. 16,normalized,2
Lei nº 7.347/1985 Art 10,Lei nº 7.347/1985 art. 10,normalized,2
Lei nº 7.347/1985 Art 18,Lei nº 7.347/1985 art. 18,normalized,2
Lei nº 7.492 1986 art 19,Lei nº 7.492/1986 art. 19,normalized,2
Lei nº 7.492/1986 artigo 1,Lei nº 7.492/1986 art. 1º,normalized,2
Lei nº 7.498 1986,Lei nº 7.498/1986,normalized,2
Lei nº 7.498/1986,Lei nº 7.498/1986,unchanged,2
Lei nº 7.501/1986 art 67,Lei nº 7.501/1986 art. 67,normalized,2
Lei nº 7.689/1988,Lei nº 7.689/1988,unchanged,2
Lei nº 7.713 1988,Lei nº 7.713/1988,normalized,2
Lei nº 7.713/1988 Art 43,Lei nº 7.713/1988 art. 43,normalized,2
Lei nº 7.713/1988 Artigo 1,Lei nº 7.713/1988 art. 1º,normalized,2
Lei nº 7.713/1988 artigo 10,Lei nº 7.713/1988 art. 10,normalized,2
Lei nº 7.713/1988 artigo 6,Lei nº 7.713/1988 art. 6º,normalized,2
Lei nº 7.716/1989,Lei nº 7.716/1989,unchanged,2
Lei nº 7.716/1989 art 20,Lei nº 7.716/1989 art. 20,normalized,2
Lei nº 7.716/1989 art 20 caput,Lei nº 7.716/1989 art. 20 caput,normalized,2
Lei nº 7.802/1989 art 15,Lei nº 7.802/1989 art. 15,normalized,2
Lei nº 7.805/1989,Lei nº 7.805/1989,unchanged,2
Lei nº 7.853 1989,Lei nº 7.853/1989,normalized,2
Lei nº 7.853/1989 Artigo 2,Lei nº 7.853/1989 art. 2º,normalized,2
Lei nº 7.986/1989,Lei nº 7.986/1989,unchanged,2
Lei nº 7.986/1999,Lei nº 7.986/1999,unchanged,2
Lei nº 7.990/1989,Lei nº 7.990/1989,unchanged,2
Lei nº 7.998/1990 art 3º,Lei nº 7.998/1990 art. 3º,normalized,2
Lei nº 8.009/1990 Art 1,Lei nº 8.009/1990 art. 1º,normalized,2
Lei nº 8.009/1990 artigo 1,Lei nº 8.009/1990 art. 1º,normalized,2
Lei nº 8.025/1990 Art 15 inciso I alínea e,Lei nº 8.025/1990 art. 15 inc. I al. e,normalized,2
Lei nº 8.029/1990,Lei nº 8.029/1990,unchanged,2
Lei nº 8.032/1990,Lei nº 8.032/1990,unchanged,2
Lei nº 8.036 1990,Lei nº 8.036/1990,normalized,2
Lei nº 8.036/1990 art 19-A,Lei nº 8.036/1990 art. 19-A,normalized,2
Lei nº 8.036/1990 art. 19-A,Lei nº 8.036/1990 art. 19-A,unchanged,2
Lei nº 8.069/1990,Lei nº 8.069/1990,unchanged,2
Lei nº 8.069/1990 art 241 A,Lei nº 8.069/1990 art. 241-A,normalized,2
Lei nº 8.078 1990,Lei nº 8.078/1990,normalized,2
Lei nº 8.078/1990 art 93 II,Lei nº 8.078/1990 art. 93 inc. II,normalized,2
Lei nº 8.078/1990 artigo 39,Lei nº 8.078/1990 art. 39,normalized,2
Lei nº 8.112 1990 Art 45,Lei nº 8.112/1990 art. 45,normalized,2
Lei nº 8.112 1990 Art 46,Lei nº 8.112/1990 art. 46,normalized,2
Lei nº 8.112 1990 art 133,Lei nº 8.112/1990 art. 133,normalized,2
Lei nº 8.112 1990 art 36 III b,Lei nº 8.112/1990 art. 36 inc. III al. b,normalized,2
Lei nº 8.112 1990 art 68,Lei nº 8.112/1990 art. 68,normalized,2
Lei nº 8.112/1990 Art 100,Lei nº 8.112/1990 art. 100,normalized,2
Lei nº 8.112/1990 Art 134,Lei nº 8.112/1990 art. 134,normalized,2
Lei nº 8.112/1990 Art 210,Lei nº 8.112/1990 art. 210,normalized,2
Lei nº 8.112/1990 Art 243 §6º,Lei nº 8.112/1990 art. 243 § 6º,normalized,2
Lei nº 8.112/1990 Art 25 II,Lei nº 8.112/1990 art. 25 inc. II,normalized,2
Lei nº 8.112/1990 Art 36 III a,Lei nº 8.112/1990 art. 36 inc. III al. a,normalized,2
Lei nº 8.112/1990 Art 53,Lei nº 8.112/1990 art. 53,normalized,2
Lei nº 8.112/1990 Art 71,Lei nº 8.112/1990 art. 71,normalized,2
Lei nº 8.112/1990 Art 77,Lei nº 8.112/1990 art. 77,normalized,2
Lei nº 8.112/1990 art 103 I,Lei nº 8.112/1990 art. 103 inc. I,normalized,2
Lei nº 8.112/1990 art 161,Lei nº 8.112/1990 art. 161,normalized,2
Lei nº 8.112/1990 art 172,Lei nº 8.112/1990 art. 172,normalized,2
Lei nº 8.112/1990 art 19,Lei nº 8.112/1990 art. 19,normalized,2
Lei nº 8.112/1990 art 20 §5º,Lei nº 8.112/1990 art. 20 § 5º,normalized,2
Lei nº 8.112/1990 art 243 § 2º,Lei nº 8.112/1990 art. 243 § 2º,normalized,2
Lei nº 8.112/1990 art 33 inciso VIII,Lei nº 8.112/1990 art. 33 inc. VIII,normalized,2
Lei nº 8.112/1990 art 36 inciso III,Lei nº 8.112/1990 art. 36 inc. III,normalized,2
Lei nº 8.112/1990 art 40,Lei nº 8.112/1990 art. 40,normalized,2
Lei nº 8.112/1990 art 46,Lei nº 8.112/1990 art. 46,normalized,2
Lei nº 8.112/1990 art 62,Lei nº 8.112/1990 art. 62,normalized,2
Lei nº 8.112/1990 art 74,Lei nº 8.112/1990 art. 74,normalized,2
Lei nº 8.112/1990 art 83,Lei nº 8.112/1990 art. 83,normalized,2
Lei nº 8.112/1990 art 84 §1º,Lei nº 8.112/1990 art. 84 § 1º,normalized,2
Lei nº 8.112/1990 art 92,Lei nº 8.112/1990 art. 92,normalized,2
Lei nº 8.112/1990 art 93,Lei nº 8.112/1990 art. 93,normalized,2
Lei nº 8.112/1990 art 96-A,Lei nº 8.112/1990 art. 96-A,normalized,2
